department_code,course_number,title,units,term,GE_area,GWR,USCP,prerequisite,corequisite,crosslisted,notes
COMS,126,Argument and Advocacy,4,"W, SP",3,FALSE,FALSE,((A2)>=4) && ((A1)>=4),None,None,
COMS,208,"Performance, Literature, and Culture",4,"F, W, SP",8,FALSE,FALSE,((A1)>=4) && ((A2)>=4),None,None,
COMS,211,Interpersonal Communication,4,"F, W, SP",15,FALSE,FALSE,((A1)>=4) && ((A2)>=4),None,None,
COMS,308,Group Performance of Literature,4,W,11,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B4)>=4) && ((C1)>=4),None,None,Note: Junior standing
COMS,316,Intercultural Communication,4,"F,W,SP,SU",14,FALSE,TRUE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B4)>=4) && ((GE_area_id == 12 || GE_area_id == 13)),None,None,Note: Junior standing
COMS,404,Video Games & Society,4,SP,0,FALSE,FALSE,(A1)>=4 && (A2)>=4 && (A3)>=4,,,Note: Junior standing
CPE,100,Computer Engineering Orientation,1,F,0,FALSE,FALSE,None,None,None,
CPE,101,Fundamentals of Computer Science,4,"F, W, SP",0,FALSE,FALSE,None,None,None,
CPE,123,Introduction to Computing (Crosslisted as CSC 123),4,"F, W",0,FALSE,FALSE,None,None,None,
CPE,133,Digital Design,4,"F, W, SP, SU",0,FALSE,FALSE,CPE 100 && (CPE 101 || CSC 101),None,None,
CPE,200,Special Problems for Undergraduates,2,"F, W, SP, SU",0,FALSE,FALSE,None,None,None,"Note: Consent of instructor; Note: Total credit limited to 4 units, with a maximum of 2 units per quarter."
CPE,202,Data Structures,4,"F, W, SP",0,FALSE,FALSE,CPE 101 || CSC 101,None,CSC 202,
CPE,203,Project-Based Object-Oriented Programming and Design,4,"F, W, SP",0,FALSE,FALSE,CPE 202 || CSC 202,None,CSC 203,
CPE,225,Introduction to Computer Organization,4,"F, W, SP",0,FALSE,FALSE,CPE 202 || CSC 202,None,CSC 225,
CPE,233,Computer Design and Assembly Language Programming,4,"F, W, SP",0,FALSE,FALSE,CPE 133,None,None,
CPE,290,Selected Topics,4,TBD,0,FALSE,FALSE,None,None,None,Note: Open to undergraduate students and consent of instructor; Total credit limited to 8 units.
CPE,315,Computer Architecture,4,"F, W, SP",0,FALSE,FALSE,((CPE 202 || CSC 202) && (CPE 203 || CSC 203)) && (CSC 225 || CPE 233 || EE 233),None,None,
CPE,316,Microcontrollers and Embedded Applications,4,"F, W, SP",0,FALSE,FALSE,CPE 357 || CSC 357,EE 215,None,
CPE,321,Introduction to Computer Security (Crosslisted as CSC 321),4,"F, W",0,FALSE,FALSE,CPE 357 || CSC 357,None,CSC 321,
CPE,327,Digital Signals and Systems,4,"F, W",0,FALSE,FALSE,EE 215 && MATH 244,CPE 367,EE 327,
CPE,336,Microprocessor System Design,4,"F, SP",0,FALSE,FALSE,CPE 233 || EE 233,None,"EE 336, CPE 316",
CPE,345,Quantum Computing (Crosslisted PHYS 345),4,SP,0,FALSE,FALSE,MATH 244 && PHYS 211,None,None,
CPE,350,Capstone I,4,F,0,FALSE,FALSE,CPE 316,None,None,
CPE,357,Systems Programming,4,"F, W, SP",0,FALSE,FALSE,((CSC 202 || CPE 202) && (CSC 203 || CPE 203)) && (CSC 225 || CPE 233 || EE 233),None,CSC 357,Course may be offered in classroom-based or online format.
CPE,367,Digital Signals and Systems Laboratory,4,"F, W",0,FALSE,FALSE,EE 245,CPE 327,None,
CPE,400,Special Problems for Undergraduates,2,"F, W, SP, SU",0,FALSE,FALSE,None,None,None,
CPE,414,Robotic Systems Integration,4,TBD,0,FALSE,FALSE,CPE 357 || CSC 357,None,EE 414,
CPE,416,Autonomous Mobile Robotics,4,TBD,0,FALSE,FALSE,(CPE 316) || (CPE 315 && (CPE 357 || CSC 357)),None,None,
CPE,419,Applied Parallel Computing,4,"F, SP",0,FALSE,FALSE,CPE 357 || CSC 357,(CSC 248 || CSC 348) && CSC 315,None,
CPE,422,Network Security (Crosslisted as CSC 422),4,"F, W, SP",0,FALSE,FALSE,CSC 364 || CPE 464,None,CSC 422,
CPE,425,Wireless Security,4,TBD,0,FALSE,FALSE,(CPE 321 || CSC 321) && (CSC 300 || PHIL 323) && (CSC 364 || CPE 464),None,CSC 425,
CPE,426,Introduction to Hardware Security,4,SP,0,FALSE,FALSE,CPE 315 || && CPE 233,None,None,
CPE,428,Computer Vision (Crosslisted EE 428),4,"F, W",0,FALSE,FALSE,CPE 327 || CPE 357 || CSC 357,None,EE 428,
